"","mean","total","tech","bio","p.value","FDR"
"Hk1",1.14749116553802,0.8505973969697,0.694006540864606,0.156590856105094,0.272009394092339,0.645131470210005
"Igfbp3",0.526638196565603,0.592271531045169,0.436082658393304,0.156188872651866,0.167740472833141,0.645131470210005
"Dbi",1.09258406326666,0.836125863815061,0.680008731414818,0.156117132400243,0.268497509579732,0.645131470210005
"Fchsd2",1.27121271840497,0.876899641938039,0.721022106643652,0.155877535294387,0.280501339774637,0.645131470210005
"Arhgap26",0.890628432350114,0.76620583159259,0.610424378966743,0.155781452625847,0.246274565692132,0.645131470210005
"Mns1",1.11673605885372,0.842024604872045,0.686316685706081,0.155707919165964,0.270902453673994,0.645131470210005
"Ngp",0.199550410140091,0.356589382820502,0.200960626651659,0.155628756168843,0.0186486950701203,0.645131470210005
"Vasp",2.28234877792171,0.888602734008358,0.733687041585551,0.154915692422807,0.28508804496097,0.645131470210005
"Klri1",0.794819985174084,0.725482227935755,0.57116442987256,0.154317798063195,0.23375380617015,0.645131470210005
"Psmb9",1.84146280012708,0.919058810141805,0.7651673288964,0.153891481245405,0.294311423841728,0.645131470210005
"Pheta2",0.775245588918062,0.714971292946492,0.562624319967137,0.152346972979355,0.233261234523907,0.645131470210005
"9930111J21Rik1",1.16136378832674,0.849517053673335,0.69734456454425,0.152172489129086,0.278667447094466,0.645131470210005
"Atp1b2",0.807603778399217,0.728657327955697,0.576643420459454,0.152013907496243,0.23919537021735,0.645131470210005
"Fam169b",0.767843649482539,0.711248904248142,0.559346267570582,0.15190263667756,0.23260952310432,0.645131470210005
"Sema4d",0.825485065365322,0.735752075405474,0.584179664992703,0.151572410412771,0.242677468819024,0.645131470210005
"Elmo1",1.09456881616873,0.831962704912997,0.680535895673605,0.151426809239393,0.274802621250103,0.645131470210005
"Ccnf",1.42490426749066,0.895839413917822,0.744885373764051,0.15095404015377,0.292892451197413,0.645131470210005
"Ly6d",0.60387981735159,0.629951876201355,0.479311911333504,0.150639964867851,0.199017332533545,0.645131470210005
"Vim",1.37325812403859,0.888527552831012,0.737955294314877,0.150572258516135,0.291612265776512,0.645131470210005
"Eif2ak3",1.57662380839922,0.90983965130321,0.759351703120416,0.150487948182794,0.297043811533702,0.645131470210005
"Slamf1",0.578391137767376,0.615385469004565,0.46547336001108,0.149912108993485,0.193229315118045,0.645131470210005
"Cyth4",2.13879332763893,0.897851399428819,0.748106477527313,0.149744921901506,0.295198171648667,0.645131470210005
"Ccdc50",0.737837010339923,0.695254830273579,0.545779721573025,0.149475108700554,0.230721706417083,0.645131470210005
"Cybb",0.958784608042071,0.784996197655648,0.6359606690473,0.149035528608348,0.264288514823261,0.645131470210005
"Ctsh",1.04984042356824,0.815632540294333,0.667033690750948,0.148598849543385,0.274565426087353,0.645131470210005
"Hist1h1a",4.99707782503113,0.940741211788692,0.79220923956449,0.148531972224202,0.307067742848462,0.645131470210005
"Pnp",2.03575000636485,0.904143629265924,0.756137166208152,0.148006463057772,0.29931818381867,0.645131470210005
"Hmgn1",1.74779218433202,0.913424945260461,0.765855312801611,0.147569632458851,0.302176972025607,0.645131470210005
"Selplg",1.2179030278901,0.856637364403971,0.710203586414036,0.146433777989936,0.289635081271316,0.645131470210005
"Lbh",1.74764018985985,0.911585838336994,0.765854432151602,0.145731406185392,0.304431997393321,0.645131470210005
"Rab4b",1.35671709137523,0.881109956052073,0.735535754990024,0.145574201062049,0.297289243803235,0.645131470210005
"Wdr1",2.00249657312076,0.90381666270725,0.758416419041178,0.145400243666072,0.303087910791871,0.645131470210005
"Tfeb",0.862767148413507,0.744275661652218,0.599426739949192,0.144848921703026,0.25790863590167,0.645131470210005
"Rhof",0.863262703126421,0.74336319337695,0.599625296662349,0.143737896714601,0.259590388097925,0.645131470210005
"Anxa6",1.42442216237372,0.887880178943192,0.744828200880413,0.14305197806278,0.302764131551338,0.645131470210005
"Rcsd1",1.14490582240791,0.836224988448231,0.693373215645553,0.142851772802678,0.289783463686478,0.645131470210005
"Pecam1",0.935920507632436,0.770015168978194,0.627606353306863,0.142408815671331,0.270872955006092,0.645131470210005
"Ehbp1l1",2.146628498642,0.88976905637783,0.747382292775899,0.142386763601931,0.304217518820371,0.645131470210005
"Sh3kbp1",1.36536187674228,0.878881072006782,0.73680964522384,0.142071426782942,0.302051597814629,0.645131470210005
"Nfkb2",1.16521642120629,0.839703124709253,0.698253910709373,0.14144921399988,0.292964993455232,0.645131470210005
"Ppp1r16b",0.84592800530661,0.7340243573104,0.592616917372003,0.141407439938397,0.260547898858825,0.645131470210005
"Snx20",0.775176969739025,0.703946735802255,0.562594051853996,0.141352683948258,0.249635403274741,0.645131470210005
"Camk2d",1.50087615349211,0.893962527629607,0.753126243018935,0.140836284610672,0.307529508501252,0.645131470210005
"Dock10",0.8510684882381,0.735082984825416,0.594708755276537,0.140374229548879,0.262802799989036,0.645131470210005
"Helz2",0.992001687253116,0.78808969545917,0.647716341426973,0.140373354032197,0.280020692895235,0.645131470210005
"Isg15",0.766113536269589,0.698640172958575,0.558576252767872,0.140063920190703,0.250062525991651,0.645131470210005
"Txnrd2",0.932443563916612,0.766378855525351,0.626317658332397,0.140061197192954,0.273803121297281,0.645131470210005
"H2-Eb2",0.572058715586696,0.601949124242575,0.461971273853602,0.139977850388973,0.207594382319781,0.645131470210005
"Celf2",1.50559864288799,0.893259249124019,0.753571096093648,0.139688153030371,0.309075935268441,0.645131470210005
"Slfn2",1.37853636095236,0.877958306681383,0.738711637792911,0.139246668888472,0.306115594429315,0.645131470210005
"Def6",1.36317194428945,0.875160677441179,0.736488887465663,0.138671789975516,0.306315323548267,0.645131470210005
"Irf5",1.42845317803858,0.883915572984967,0.745304388297795,0.138611184687172,0.308497230775195,0.645131470210005
"Il4ra",1.05318540829133,0.806615284434208,0.668099466360465,0.138515818073743,0.288584942394871,0.645131470210005
"Txk",0.65460211498249,0.644116040349687,0.505673269184544,0.138442771165143,0.230799690673594,0.645131470210005
"Ppp3ca",1.74875112601879,0.903801338198775,0.765860774792331,0.137940563406444,0.314073611965453,0.645131470210005
"Skap1",0.538791362108688,0.581042825366242,0.443145367574892,0.13789745779135,0.201356171950161,0.645131470210005
"Ada",0.600600751724303,0.61501430137861,0.477554212981527,0.137460088397084,0.21945600462651,0.645131470210005
"Dennd4b",1.64123528871029,0.90011352258529,0.762855608159274,0.137257914426015,0.314250453151674,0.645131470210005
"Myo1c",1.3452825563369,0.870548958742485,0.733756679067959,0.136792279674526,0.308073237154042,0.645131470210005
"Ces2g",0.717136379172762,0.672579375889059,0.536152645438611,0.136426730450448,0.246908132160341,0.645131470210005
"Ppp1cb",2.46856280821849,0.845636622167164,0.709263726124489,0.136372896042676,0.302563696547299,0.645131470210005
"Ctso",1.13736121594497,0.827763923510324,0.691511986303693,0.136251937206631,0.298110134021863,0.645131470210005
"Pqlc1",1.30078717648145,0.862530505769666,0.726356579831361,0.136173925938305,0.307082409471183,0.645131470210005
