EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
16906,Lmnb1,2843,-0.834757939678654,6.23813311313404,-4.24113722261434,0.0010366817580832,0.106413289273169,-1.09276867020208
12524,Cd86,2539,1.0838810994409,5.36396650875906,4.23725364697183,0.00104404425265924,0.106413289273169,-1.08176011096566
15945,Cxcl10,1101,-4.1857493192571,-0.271942339391818,-4.23399959889263,0.00105025488189142,0.106413289273169,-0.794502733590521
319997,A630001G21Rik,1936,1.05397985424343,6.73024891896943,4.23166715029214,0.00105473003719703,0.106413289273169,-1.09050882811673
27981,Rsrp1,1415,0.810368876471488,7.62837285700313,4.22925990754444,0.00105936935962008,0.106413289273169,-1.09897140174313
73182,Pear1,4501,0.864437550145352,3.64604502953842,4.22591252679248,0.00106585561636886,0.106413289273169,-1.05301549248504
69368,Wdfy1,4714,1.22753237590758,2.8082409397382,4.21750754134574,0.00108232351561523,0.106413289273169,-0.993948252542806
60595,Actn4,3811,-0.653220677978162,5.82904818725822,-4.2143651977799,0.00108854761423014,0.106413289273169,-1.12563733712473
67804,Snx2,2013,0.643366800241329,7.78186791710304,4.21224284758946,0.00109277229938147,0.106413289273169,-1.13867933680927
269614,Pank4,2565,0.928332908016555,4.60455257926495,4.21014947006497,0.0010969559030126,0.106413289273169,-1.09604210972951
230125,Slc25a51,4438,-0.78110571568138,4.53737980601788,-4.20924585042108,0.00109876688984641,0.106413289273169,-1.11357642525774
14455,Gas5,2554,1.09251605112816,5.75788753380908,4.20908134357938,0.00109909691787271,0.106413289273169,-1.11944848735483
112405,Egln1,3524,-0.880794870416505,3.68872983992306,-4.18901451680062,0.00114013209441071,0.108634423058454,-1.04480299927009
236604,Pisd-ps1,2857,1.1271477131675,5.84500502586331,4.18419068055678,0.00115023024827586,0.108634423058454,-1.15814011980789
11797,Birc2,3140,0.865185459254945,4.95047571720628,4.1816613005189,0.00115556207097687,0.108634423058454,-1.15732558393667
15001,H2-Oa,1049,0.681325319873746,7.36745900380317,4.17823034003385,0.00116283518684273,0.108634423058454,-1.16990947511529
230558,C8a,3636,2.19214387354783,-3.75501604653148,4.17214748834658,0.00117584627048916,0.108634423058454,-0.675461082030961
21939,Cd40,1784,1.10919850818103,6.33158945101603,4.169639310079,0.00118125486938129,0.108634423058454,-1.1891232587198
223453,Dap,1481,-0.891177743654025,5.55435871542711,-4.16647923428056,0.00118810578015941,0.108634423058454,-1.19678460191801
72289,Malat1,6982,2.20396842906542,5.70432914134855,4.15907394529325,0.00120432121671363,0.108634423058454,-1.23377213721237
76681,Trim12a,1525,0.785760438011495,5.35816728404644,4.15865360459364,0.00120524846137493,0.108634423058454,-1.13545616353371
329934,Foxo6,2528,-2.93611997344071,-4.00784013459419,-4.15630062000281,0.00121045261363305,0.108634423058454,-0.944778271015798
212483,Fam193b,4341,1.04577714022694,4.47744933470789,4.15076434301665,0.001222788972559,0.108634423058454,-1.21444139095458
72046,Urgcp,5611,-0.761078132535739,2.47069739474825,-4.14947120538413,0.00122568908094625,0.108634423058454,-1.07431550078888
12750,Clk4,1892,0.844778465728435,5.37486699194493,4.13406892557219,0.00126078219372554,0.108634423058454,-1.23628455956069
14999,H2-DMb1,1284,1.35354596342574,6.6153398363873,4.13237885459181,0.00126469549569793,0.108634423058454,-1.25694875882484
77040,Atg16l1,3180,0.787917601464002,3.88315313157948,4.13208027318761,0.00126538815160747,0.108634423058454,-1.19387497233219
269224,Pask,5119,-0.567644790276294,1.37500793402329,-4.12940659645495,0.00127160806924068,0.108634423058454,-1.19401341635148
15107,Hadh,1720,-0.67924050481322,4.59305274703565,-4.1276420460392,0.00127573029823176,0.108634423058454,-1.1808511582773
27060,Tcirg1,3304,1.17270895553604,5.01517020486299,4.11295376058742,0.00131058335526665,0.108634423058454,-1.29480301521025
243910,Nfkbid,2010,0.778538833785771,4.63469873212968,4.11175417234315,0.00131347280665713,0.108634423058454,-1.19857967266841
21969,Top1,3847,-0.70655571824232,5.89681654024707,-4.10618656638428,0.00132696972173735,0.108634423058454,-1.34089138005011
15382,Hnrnpa1,1918,0.75506944591231,5.78411977044847,4.10217675742272,0.00133677872764399,0.108634423058454,-1.31295879687044
66367,2310022A10Rik,2715,-0.695340269144261,3.61831756166649,-4.10140912095183,0.00133866506623593,0.108634423058454,-1.22117716000347
50780,Rgs3,7301,-1.67580321996732,0.108527181812968,-4.09897869465992,0.00134465554462003,0.108634423058454,-0.854488730157846
78416,Rnase6,1072,0.76377371559732,7.00728639180323,4.09845117061328,0.00134595942260078,0.108634423058454,-1.31747508623214
52857,Gramd1a,2681,0.771360356961486,5.65483076576482,4.09841966465106,0.00134603733691336,0.108634423058454,-1.32452125793221
18769,Pkig,1431,-0.825232956991816,6.8615533375818,-4.09560515518137,0.0013530164108461,0.108634423058454,-1.34432471734542
18645,Pfn2,2020,-0.988532834808409,1.7433467180594,-4.09387138611586,0.00135733414639083,0.108634423058454,-1.09200498878069
15015,H2-Q4,1793,0.807712552284228,7.70172395643515,4.09314163551272,0.00135915574224337,0.108634423058454,-1.35330091247682
17219,Mcm6,2901,-0.671861361981549,6.44595568217603,-4.09078030047421,0.00136506736283674,0.108634423058454,-1.37586500549745
20384,Srsf5,1653,0.86188057111859,6.821720936357,4.09042491465588,0.00136595936485444,0.108634423058454,-1.34997823220493
67789,Dalrd3,1737,0.790573188368829,4.90727080244964,4.08591667779443,0.00137732709983151,0.10889033953165,-1.30506427987415
50771,Atp9b,5432,0.602449665186413,3.6570532227921,4.08168508306686,0.00138808594727599,0.109095390244438,-1.31125407137275
17215,Mcm3,2886,-0.690749159406672,6.20342337793429,-4.07415801608142,0.00140743800402024,0.109183902677807,-1.401607933437
