symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
H1f0,15,-1.4359446463630858,6.566629073588254,-7.740899582156789,5.082479311938796e-11,2.8952193915773706e-8,14.692218591478053,FALSE
Rps27rt,9,1.1037173516403724,7.0591662666623876,7.6494485861523955,7.504009347407343e-11,4.03715702890515e-8,14.458332538927316,FALSE
Serinc3,2,-0.7531769050176784,9.736266157399099,-7.502276988565159,1.4038732320209054e-10,7.155320199416025e-8,13.87158275809574,TRUE
Actb,5,0.5947522927055662,12.11336745178676,7.4818107293405935,1.5315293791321235e-10,7.415665253757742e-8,13.679359503159624,FALSE
Fkbp11,15,-1.1101613725805493,6.994319265691568,-7.363993138833374,2.5265727893843747e-10,1.1651109948761088e-7,13.276150358221088,FALSE
Pkig,2,-1.0695071320190355,7.149022558055244,-7.221087089637679,4.6319080731845015e-10,1.9698711644987382e-7,12.71561488407504,TRUE
Ly6c2,15,-0.7837355388103298,9.569113009530302,-7.218722313371757,4.678545723200225e-10,1.9698711644987382e-7,12.704488848349984,FALSE
Txndc11,16,-0.9642296709874163,8.006159573028503,-7.206831732151536,4.920234031131461e-10,1.9853144315615445e-7,12.68589115508943,FALSE
Sec11c,18,-0.742929082470356,9.451109398770937,-7.009280786229448,1.1343198797491376e-9,4.3939014861962596e-7,11.847088397090706,FALSE
Ift20,11,-0.9437388794827815,7.6660318240622125,-6.974868095659328,1.3115409003716674e-9,4.884985415076626e-7,11.742011539680274,FALSE
Derl3,10,-0.904659299609099,7.635526507049652,-6.852791626823975,2.1930447796429114e-9,7.865720609652576e-7,11.248867365590131,FALSE
Top1,2,-1.017597027167172,7.109711022778974,-6.832356352228584,2.389787580301838e-9,8.265251045586785e-7,11.153539532868297,FALSE
Irgm2,11,1.3586820597073483,5.737721474110987,6.820682737628482,2.5099507602125077e-9,8.381504538585491e-7,10.90329751316196,FALSE
Gmppa,1,-1.2270869500648205,6.321279840358331,-6.670369946247923,4.714443670896155e-9,1.5218224169652787e-6,10.414041470576795,FALSE
Rpl39,X,0.5931576412978412,10.845334124101395,6.652919955551851,5.071534345517022e-9,1.5842818903866722e-6,10.311811134762294,FALSE
Rps27,3,0.6243699680357633,10.30754347356288,6.478446866052149,1.050186388519266e-8,3.1781265582564287e-6,9.634337178433423,FALSE
Cd7,11,0.9221498798770718,6.937251230383092,6.368236323608905,1.659708414301683e-8,4.870489783059848e-6,9.311979271521674,FALSE
Pou2af1,9,-0.8107940996337586,7.900881335665079,-6.352123492376286,1.7742992883402804e-8,5.0536218553786106e-6,9.238852617150936,FALSE
Selenok,14,-0.7522205687528487,8.343937603035641,-6.229458177398709,2.9457215644559852e-8,7.9239910083866e-6,8.736971656981165,FALSE
Edem1,6,-0.7084758677541902,8.908124589611663,-6.2323661580342975,2.9106125047901714e-8,7.9239910083866e-6,8.723516805268595,FALSE
Uba52,8,0.7211234226994012,8.527299493284385,6.213753836414024,3.1426999826553845e-8,8.2253801708202e-6,8.662592318136326,FALSE
Rpn1,6,-0.7513551795832862,8.231964099634563,-6.115346392721257,4.710247250734521e-8,1.200369325687187e-5,8.28960770581783,FALSE
Myh9,15,0.8578155149091353,7.209100600619032,6.018975801890336,6.989202706552261e-8,1.6920859752563024e-5,7.940944157301404,FALSE
Ftl1,7,-0.49733973208862814,11.559725774684253,-6.041071419016248,6.385550253760009e-8,1.585581247625947e-5,7.7979864163925345,FALSE
Rcbtb2,14,-1.1102676552783413,6.20052880900429,-5.971936571515265,8.468562279279477e-8,2.0002331003059135e-5,7.7174913054869,FALSE
Thy1,9,0.8741031268468449,6.940426613122686,5.860425535265425,1.3326779954890987e-7,3.0727746924562937e-5,7.332110551009707,FALSE
Lars2,9,-0.9887024194902967,6.58239972842225,-5.832532134680494,1.4921440465128132e-7,3.3604471968442056e-5,7.22354696692452,FALSE
Snrpd1,18,-0.7555449150048439,7.771687393328389,-5.810965777697305,1.6282229325406476e-7,3.583570654255371e-5,7.117527059417464,FALSE
Sub1,15,-0.6631002186180499,8.828897967023655,-5.8003706233438885,1.6994928584814903e-7,3.657308631452167e-5,7.023552185077934,FALSE
H13,2,-0.6924495701462838,8.565817748689593,-5.7870850515404015,1.7932243075098076e-7,3.7751269986793425e-5,6.986136844330889,FALSE
Ikbkb,8,0.7570109347731169,7.658233957072783,5.715338873620449,2.394732616638385e-7,4.9341682254310895e-5,6.746273725150851,FALSE
Tspo2,17,-1.0279267726611545,6.3139347936280705,-5.664299557539541,2.939819592851113e-7,5.8100434565653423e-5,6.573687394381027,FALSE
Rpn2,2,-0.6779724311606756,8.665549664851868,-5.674865144317522,2.8177651172028137e-7,5.684841123956677e-5,6.545363227392514,FALSE
Slc35b1,11,-0.8985607591003655,6.691561779437468,-5.614411005826003,3.5902566135011857e-7,6.817263734342252e-5,6.400105464241225,FALSE
Nme2,11,-0.6236476148888297,9.158652624432088,-5.617250516283214,3.5496994638285526e-7,6.817263734342252e-5,6.293494316050719,FALSE
