symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Ero1lb,13,-0.48032672243895913,5.288433262324717,-5.5166094149183085,8.910310702916772e-5,0.008113838031921354,1.2017052411475522
Ostc,3,-0.47466925763118795,5.815102335054862,-5.534324452344116,8.641231921992844e-5,0.008048126364549758,1.1786354748628494
Sfn,4,-0.865414449783394,3.6878224190353044,-5.288897825255463,1.3266082936655449e-4,0.010633520131141907,1.0972885380583133
Cdkn1b,6,0.41903298186587,5.7816200241167826,5.485525283664353,9.403849316229472e-5,0.008448317244768303,1.0939316487007424
Tram2,1,-0.663797589385918,4.079130602041524,-5.325561147956488,1.2436677938289234e-4,0.010151059200118273,1.0759703504037423
Yipf2,9,-0.6499843799826812,3.9567305399733206,-5.311298106017657,1.2752714102169383e-4,0.010345929149796325,1.07439735857435
Rabgef1,5,0.49544222859837106,4.684444374557047,5.387165263340422,1.1162767477223157e-4,0.009457266167728429,1.067907277250228
Sub1,15,-0.5292645426019567,7.884359234071749,-5.401906784171243,1.0878640623114522e-4,0.00933471047314173,1.053023819939269
Gimap1,6,-0.4515743287219456,6.071373462823401,-5.45463853270024,9.92263720818825e-5,0.008796319315815093,1.020612468167692
Ackr2,9,-1.077061776067696,2.09751147221002,-5.104709697866774,1.8399019472417621e-4,0.012933672281195555,1.0138560551075333
Tnfrsf13b,11,-0.5275411171553301,5.062031561627302,-5.3873188573343045,1.1159767481758203e-4,0.009457266167728429,1.0052520149581499
Srp68,11,-0.41977765286289515,5.7134061279576285,-5.429362331856674,1.0369424953923915e-4,0.009072230224393825,0.9988647063345031
Btg3,16,-0.4972756031274459,4.943432159238803,-5.348980811084391,1.1935367805150267e-4,0.00983530812232406,0.953878521378666
Cpox,16,0.45434118673542123,7.763703886581727,5.347775631322857,1.1960643159579475e-4,0.00983530812232406,0.938445346212978
Ftl1-ps1,13,0.5213981004537365,6.04518394870569,5.4054221653794565,1.0812007921309477e-4,0.00933471047314173,0.9335392102366269
Lsm14b,2,0.5892452022429566,4.191453182425114,5.261112636976005,1.39329894249526e-4,0.010970999790730324,0.9333358051302527
