symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Manf,9,-0.7898955294716563,7.907143359183875,-5.4624784521810055,4.363058591661861e-7,1.6330564720374376e-4,6.063565749493398,FALSE
Rpl21,5,-0.6109349273856051,12.035797725277765,-5.4339045837999995,4.918413652873846e-7,1.7672843937506305e-4,5.8068758904253475,FALSE
Rps27rt,9,0.8207307056630437,7.526148307650045,5.370890743827141,6.399575534835151e-7,2.2110533472855445e-4,5.741398302362867,FALSE
Tbx21,11,-1.6473788790527792,4.654146891704471,-5.06193509436675,2.27934944919882e-6,7.312641465054643e-4,4.492960437352474,TRUE
Gadd45g,13,-1.391937819429094,5.069829317496687,-5.020242253181407,2.6981701861926033e-6,8.079220927522719e-4,4.448666779863359,FALSE
Gm21887,X,1.9741162614959054,4.797420014375518,5.045858077252013,2.432733434566646e-6,7.535601531969717e-4,4.259766812057608,FALSE
Top1,2,-0.8783888788685719,6.566305554092706,-4.951302791562209,3.560844345666888e-6,0.0010318407986169567,4.17412124756065,FALSE
Metap1d,2,1.2095457409520556,5.69844970172697,4.859486053335429,5.1372682409819135e-6,0.001318516588821158,3.8916129032866333,FALSE
Myh9,15,0.6888695093546833,7.886739283036221,4.882974808376636,4.67899607772412e-6,0.0012736794474604777,3.8030848029173407,FALSE
Actb,5,0.5371627643459984,12.580813621648339,4.900894301062415,4.356408997838551e-6,0.0012229256883619906,3.693105743604921,FALSE
Rpl35,2,-0.57803856662869,9.879617989902153,-4.869464469144503,4.937480611083746e-6,0.0013045114214519202,3.633890329867703,FALSE
Slc15a2,16,-3.415068152618618,3.8158078877479378,-5.219488574744721,1.1977892622944704e-6,3.985089238218973e-4,3.3240575635681706,FALSE
Rbm38,2,0.7658964709654956,7.137179145239347,4.715430163516397,9.065970407670964e-6,0.0021431476887396913,3.250409531923366,FALSE
Rexo2,9,-0.7186373668511346,7.274314482248368,-4.723004859605767,8.801137928476814e-6,0.0021367735678785734,3.242508154303609,FALSE
Serinc3,2,-0.5894189500862996,9.235525852143715,-4.750041872796685,7.915782886819115e-6,0.0019752077131193362,3.2079635521018854,TRUE
Prdx4,X,-0.907505171278995,6.349188619357427,-4.659551732418006,1.1273584730950893e-5,0.0025317652909532967,3.1094430871576364,FALSE
Mef2b,8,-1.8426626979116092,4.066953836419892,-4.699086146601383,9.664049364656573e-6,0.0022259527036592305,3.0566338936592334,FALSE
Derl3,10,-1.035455174222827,5.768720621114058,-4.568375592273954,1.6040299402488508e-5,0.0034307145126798635,2.8272781030405136,FALSE
Tma7,9,-0.5992056496529372,8.601877632682186,-4.595025872302048,1.4474857998953917e-5,0.0031714060830390985,2.6657498745695873,FALSE
Hmgn2,4,-0.7083722936955592,7.096915816651826,-4.542105032360955,1.7743474387619962e-5,0.003706735591255584,2.5967464782075442,FALSE
Rnps1,17,-0.6611365578284598,7.528952122404326,-4.507361645156554,2.0267013583606775e-5,0.004137695068671355,2.424853696944923,FALSE
Snrpd1,18,-0.6173837791923429,7.9657771137595,-4.458680867464191,2.439501603752768e-5,0.004869787312558026,2.211773561329,FALSE
Gcsam,16,-1.9522394182165632,3.704118994615405,-4.373740310704787,3.362215221490485e-5,0.006565821594488919,1.902786249082097,FALSE
Cd7,11,0.7771587023554574,6.5974050532041115,4.30179420886217,4.400107841194485e-5,0.007744186171358596,1.819605588806092,FALSE
Snhg9,17,0.8179686925400231,6.435242971959507,4.290455564710351,4.5896249824184495e-5,0.007744186171358596,1.8016326616562957,FALSE
Ggct,6,-1.0274643190151522,5.337873021848836,-4.262752955288757,5.086351821330927e-5,0.007744186171358596,1.791048748931666,FALSE
Acd,8,-0.8465227929372361,6.158443448007175,-4.27988863921084,4.773313704481877e-5,0.007744186171358596,1.7815394822687232,FALSE
Nuggc,14,-2.059291327937435,3.609350351960341,-4.362810217735029,3.503043086386135e-5,0.006695284264895031,1.7288552592047344,FALSE
Chchd10,10,-0.7563458655622304,6.54813414478945,-4.270697840935873,4.938827863436132e-5,0.007744186171358596,1.7015669629667522,FALSE
Pld4,12,-0.6029433580120438,7.7812404595742155,-4.307875494124693,4.3015971862364e-5,0.007744186171358596,1.6877476699758898,FALSE
Rpl13,8,-0.4866423776829567,11.951494769037545,-4.34506560133525,3.743884571587713e-5,0.007006523980535922,1.6405068325628847,FALSE
Selenop,15,0.6397544517172538,7.637319516852345,4.271262466563163,4.92850214711193e-5,0.007744186171358596,1.5910641570118305,FALSE
Pou2af1,9,-0.5950716051389966,7.906763409304403,-4.28163424972224,4.7424878473782235e-5,0.007744186171358596,1.5855615705090544,FALSE
Rpn1,6,-0.657301638716727,7.408282569213366,-4.267005543079129,5.0068675351848246e-5,0.007744186171358596,1.581479780671227,FALSE
Fen1,19,-0.8522300078972593,6.005004684439993,-4.203327465148173,6.332632824592989e-5,0.009325580436609643,1.537431061155134,FALSE
Cd22,7,-0.5523138490817239,8.684698884457903,-4.277999871903342,4.806885191500422e-5,0.007744186171358596,1.5168303933674947,FALSE
Qpctl,7,-1.6757581272678688,3.9746709555416504,-4.209730016795367,6.185382557172806e-5,0.009260548585180554,1.4781679936463306,FALSE
Eps8l1,7,2.1615262065587064,4.5354016263468315,4.275370036000698,4.854008060711307e-5,0.007744186171358596,1.3731963540563115,FALSE
Edem1,6,-0.616523546818736,7.533567955220684,-4.15705853430741,7.501661775455484e-5,0.010816631322349675,1.1866232334666478,FALSE
Fdft1,14,-1.073375774289639,5.087765572235988,-4.06751286890677,1.0380003280098085e-4,0.013916950666435984,1.1566500169257345,FALSE
Rps28,17,0.4924408931647939,10.582100547274582,4.153995671536293,7.585970981944e-5,0.010816631322349675,1.003991826386632,FALSE
Thy1,9,0.5447810134071354,8.334750058202093,4.123715525249819,8.470012412427681e-5,0.011888456484505917,1.0020678756546886,FALSE
Hmces,6,-0.8503902760748616,5.917709207899145,-4.040954946903559,1.1420393054231538e-4,0.01508667511855322,1.000332786912546,FALSE
Ube2s,7,-0.5516725528679363,8.396264092534771,-4.0980582955325575,9.295831169966154e-5,0.012744015829895122,0.9130680048724367,FALSE
Sec61b,4,-0.5416269824291771,8.773146106434197,-4.096060034067583,9.363297837839009e-5,0.012744015829895122,0.8796448442387943,FALSE
Glul,1,0.7609108780154727,6.341959647286486,3.9991527620592553,1.3263261264710076e-4,0.017020553705841514,0.8219498356916164,FALSE
Cldn13,5,0.9003620044751921,6.086629689450579,3.9616641006237066,1.5155609540470655e-4,0.018649704178362727,0.7450400273194946,FALSE
Emb,13,0.8509159890368165,5.909192693242402,3.938551524238792,1.64483239610066e-4,0.01970070588556297,0.6789638760740582,FALSE
Als2cl,9,0.7897761045865908,6.245322466930123,3.938807018048732,1.6433473577944798e-4,0.01970070588556297,0.6411348547492182,FALSE
Pola1,X,-1.3531934750524952,4.275710722031509,-3.8698338431526955,2.0944603866321758e-4,0.023646589848419147,0.5168507434050236,FALSE
Rps29,12,0.466749125391253,11.18974793463069,4.012537726415211,1.2644186510382587e-4,0.016461264843879244,0.5000953653726832,FALSE
mt-Co1,MT,-0.4751001210715735,10.802842881514493,-3.9925360840712,1.3579921030113963e-4,0.01718146910049489,0.44375998398271754,FALSE
Phf19,2,-1.582774334673446,3.826732868986489,-3.8701770394254025,2.0919474562412137e-4,0.023646589848419147,0.43918684233720207,FALSE
Gapdh,6,-0.4767686468649899,9.895339021813237,-3.976864771895118,1.4359070094086522e-4,0.01791493425766378,0.4199906539615412,FALSE
Midn,10,0.8067012963772511,5.987257859123591,3.8602390824047137,2.1658931143078892e-4,0.024020022031886135,0.41363385520654994,FALSE
