symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Sec11c,18,-0.7329304538171177,7.7044674599999325,-6.3355152485479795,1.9629059090247537e-6,5.242185593289233e-4,5.007680814616132,FALSE
Uba52,8,0.7052245284216774,7.911559435643448,6.304464475722078,2.110659888508244e-6,5.439907824451531e-4,4.914432467656456,FALSE
Acta2,19,-1.085683453210942,6.362931204161233,-6.220851039456585,2.567645840925949e-6,6.065890924597463e-4,4.838098662371899,FALSE
Rbm38,2,0.6542319030804746,7.897826017463706,6.219007330440086,2.5787897921091457e-6,6.065890924597463e-4,4.716905430753836,FALSE
Gm8797,3,5.470367384286666,5.47823707697998,9.067145245640656,5.3851060559158094e-9,3.2872225967040363e-6,4.616033593991672,FALSE
Rps28,17,0.46386157177990306,9.923059135737617,6.211247893301639,2.6262340768793133e-6,6.065890924597463e-4,4.410674906324198,FALSE
Gm42418,NA,-0.5672186328137485,10.929953183850827,-6.293748096414399,2.164250714151089e-6,5.439907824451531e-4,4.3999085704674545,FALSE
H1f0,15,-1.286689186878351,5.486726351555038,-5.949847466237668,4.872744037526098e-6,0.001022246227407139,4.23159983554371,FALSE
Pafah1b3,7,-1.3656828499825773,4.985375851738703,-5.930167447120264,5.106399633132293e-6,0.001022246227407139,4.1194657883804515,FALSE
Nme2,11,-0.7086623276469952,7.970354325309943,-5.927124971893719,5.1435277063546666e-6,0.001022246227407139,4.027771158302988,FALSE
Edem2,2,-0.9159620137373352,6.071836273083538,-5.852570869350038,6.144557339305476e-6,0.0011934406141296497,4.012171672319981,FALSE
Blnk,19,-0.9733474027929461,5.7937339451544245,-5.815859529418951,6.708277616631288e-6,0.0012705176706393482,3.9358873379368227,FALSE
Myl9,2,-0.9304656303700645,5.971781155090632,-5.772485157697064,7.4426341735158955e-6,0.0013051291394021822,3.832647629430987,FALSE
Rpl22,4,-0.40625981876350004,10.023420462498823,-5.964903012707212,4.701368841820123e-6,0.001022246227407139,3.797635393109024,FALSE
Rexo2,9,-0.7191461925395268,7.175945731988997,-5.777583348301303,7.352238093644918e-6,0.0013051291394021822,3.7530814889578714,FALSE
Rpl13,8,-0.32629463208463605,11.034612941067296,-6.009505251022865,4.228841965976387e-6,9.510443010851107e-4,3.706008933493896,FALSE
Atpif1,4,-0.3853354099884747,10.206748152089174,-5.932154937953339,5.082293322593328e-6,0.001022246227407139,3.684103128732188,FALSE
Ltbp2,12,-1.8089008407703098,4.144298323339788,-5.807811763792814,6.8387330738836894e-6,0.0012705176706393482,3.520500198351751,FALSE
Sec61b,4,-0.6040746284550806,8.09830209546349,-5.6995787871982655,8.866303281429096e-6,0.001485714271433197,3.472585284753446,FALSE
Rpl9,5,-0.42697285245927574,9.60036076004894,-5.770218403705155,7.483188372420656e-6,0.0013051291394021822,3.4077752870572073,FALSE
Derl3,10,-1.142595420488207,5.36731020076108,-5.5723584305100315,1.2048088118169381e-5,0.001980056943420683,3.3805430206876466,FALSE
Cxcr3,X,-1.6262668162544114,4.2919734972262455,-5.556417027263597,1.2521361154575153e-5,0.002019010423150929,3.1117348701981067,TRUE
Rps20,4,-0.32412249631443935,11.305487224734499,-5.7315977093669375,8.209753937480318e-6,0.001403211142994136,2.9837207308917204,FALSE
Pkig,2,-0.7434830028627477,6.799029249869679,-5.434700998010147,1.681647643793716e-5,0.002612974684338381,2.9787496766768538,TRUE
Sdc1,12,-1.3705768092117312,4.627563946452126,-5.397821346102246,1.8392972651684275e-5,0.0028068990050231037,2.9011753879529376,FALSE
Myl4,11,-1.6943195463354725,4.132185179207958,-5.487477152660244,1.4795495604619288e-5,0.002341524174760675,2.897715032949449,FALSE
Ssr2,3,-0.7765333034878257,6.620517152594362,-5.350455954939022,2.063974047469679e-5,0.003094512668364189,2.796737783816879,FALSE
Cox5a,9,-0.5675089201357926,7.83255053358796,-5.283624689407199,2.4291622225249472e-5,0.0034032164514259345,2.50822345186112,FALSE
Spcs1,14,-0.64815500667775,7.207176303920218,-5.234431539522027,2.7392327707204964e-5,0.0037757231062221556,2.459965717316681,FALSE
Hist3h2ba,11,-1.5184008656629349,4.4805233513323035,-5.197639320088609,2.9970833587685128e-5,0.0040655673625453505,2.442022788253963,FALSE
Irf4,13,-1.1589131071257492,5.202756934703409,-5.148061666723042,3.3838401394026934e-5,0.004417798706312315,2.415465844172413,FALSE
Pim1,17,0.6610943430636871,7.180104747490109,5.1383949556892,3.4649408040460103e-5,0.004417798706312315,2.2440374278255284,FALSE
Gabarapl2,8,-0.6128625992373733,7.579437817398016,-5.132516700246806,3.5152154461647254e-5,0.004417798706312315,2.174922264021257,FALSE
Rps3a1,3,-0.3245535671480475,10.583849990069202,-5.3395231672664885,2.1196697601945826e-5,0.0031232237535556728,2.1709590306994233,FALSE
Slc25a37,14,0.3482303864908918,10.144659702184473,5.296495564829331,2.3540679050589482e-5,0.003352977386105629,2.163946375719304,FALSE
Rps27a,11,-0.3117907818985728,10.690601944647316,-5.322058107569705,2.2118209892641893e-5,0.003203766470212163,2.106556320765863,FALSE
Pf4,5,1.0035672217940785,5.896555219464622,4.995371617033522,4.9224002976228925e-5,0.005762579855271951,2.0558468365168032,FALSE
Ift20,11,-0.6913139161509374,6.523498024678355,-5.012062327350987,4.7244957285672874e-5,0.005607713957824449,2.003779043341961,FALSE
Cpox,16,0.6193893299831519,8.056360783535318,5.045807235241815,4.3485594721831855e-5,0.005308969892753929,1.9054827107456793,FALSE
Ypel3,7,-0.5195299536813547,7.9618147180589345,-5.021129025411065,4.620376491479957e-5,0.0055613714783362975,1.8575234314697342,FALSE
Slc35b1,11,-0.8615514375974236,5.778266815372455,-4.912404175382744,6.0375568847185336e-5,0.006879594818240612,1.848873456694311,FALSE
Ly6a,15,-0.5490474528932072,7.988224890296919,-4.985638285283897,5.041650793978648e-5,0.005822425362883989,1.768419674894421,FALSE
Khsrp,17,0.9737708816817863,5.576101927424475,4.834113173867614,7.322860593008139e-5,0.007679470058469895,1.6951758229761689,FALSE
Cd79a,7,-0.7140793992521628,7.167001972192461,-4.9061842068248644,6.130782430572489e-5,0.0068939035067990114,1.6760189693118708,FALSE
Txndc11,16,-0.9796335392020685,6.169871539392653,-4.854232018301566,6.968347093576601e-5,0.00753816383059565,1.673403715173702,FALSE
Rps2,17,-0.37100510782721585,10.036655047295172,-5.087838936901041,3.922231107556912e-5,0.004857882180461068,1.6655557118329556,FALSE
Rps7,12,-0.30059670476064504,10.622491556480552,-5.135659104302529,3.488248517793898e-5,0.004417798706312315,1.663205329384688,FALSE
Srp9,1,-0.6034311473998555,7.001196200128126,-4.873249415865026,6.649144113369522e-5,0.00737968644063064,1.6158558304932713,FALSE
Sapcd2,2,-1.4128670427211385,4.156553581661518,-4.819576351626432,7.590266650327609e-5,0.007815231179963826,1.5386759300116664,FALSE
Txndc5,13,-0.6210760998373202,7.033096325954545,-4.8315917425216135,7.368553063357493e-5,0.007679470058469895,1.511834298328984,FALSE
Prdx4,X,-0.7440433576007521,6.353572975241162,-4.778490050465442,8.400424140962324e-5,0.008445531713600997,1.46912840742311,FALSE
Ndufb1-ps,12,0.4901037958697554,8.0865949288434,4.864901997698121,6.787399023429089e-5,0.007436552827464743,1.4618355120971227,FALSE
