symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Lat,7,0.5085666334461658,7.266677036559635,4.782017650137804,5.533780788076361e-5,0.007417840107551661,1.5986537115639017
Ppia,11,-0.39126210191833977,10.801354322457868,-4.856913567883861,4.5267285508212076e-5,0.006572403343634885,1.5821563583319715
Tmsb10,6,-0.4133560911215337,11.196837610626238,-4.854101269984048,4.5610016263947856e-5,0.006572403343634885,1.5562224923667465
Gnas,2,-0.4250068481005158,9.595577513859268,-4.815746747351839,5.055168714625268e-5,0.0071068274319756215,1.5453152280328037
Tma7,9,-0.45531845820750405,8.526369633586146,-4.790603422523597,5.4078148846030316e-5,0.007334269410553382,1.543802372659938
Cacna1h,17,-1.2886852670673754,3.5544178529488013,-4.640415255958693,8.089097447556336e-5,0.010027001653271982,1.5351991062572008
Fth1,19,-0.3690956443965554,11.64820365189969,-4.844125888810912,4.6846765261669746e-5,0.0066672779004509734,1.5103926422175746
Trdc,14,1.0349214674664222,4.385678931620372,4.617059121914358,8.611541179653865e-5,0.010133586579039108,1.500132830949907
1110059E24Rik,19,-0.6199489347197771,5.775532276876206,-4.631320815565787,8.288661611053186e-5,0.010073285832496363,1.373582067186934
Snrpd1,18,-0.45977880625215306,8.025633862019717,-4.706532232481611,6.775328913918182e-5,0.008775954125803237,1.3518524802991543
Gimap1,6,-0.4596220460291134,7.97695613977982,-4.698009275977379,6.931929692178058e-5,0.008879031721269852,1.3320248465277968
Gapdh,6,-0.4225532169352757,9.771300624832447,-4.734230720712283,6.290374129973262e-5,0.008275267815784791,1.3183538910313537
Eif1,11,-0.4212182721848965,9.852697865382337,-4.732655597653792,6.316998332660146e-5,0.008275267815784791,1.3088898486342044
Mir142hg,11,0.5387194938544679,7.8821399836709585,4.672133380331083,7.42984689985883e-5,0.009412228028744241,1.2676283602414875
Gm5547,3,-0.7837381073463048,4.95628889596034,-4.5437759683765355,1.047910758502125e-4,0.01161568771539663,1.262644171070983
Cdk1,10,-0.5078245261970205,6.750668007455512,-4.620802697988193,8.525594015148333e-5,0.010133586579039108,1.2219364485365976
Cd3g,9,0.4827439826283193,7.179569722136309,4.630756803615779,8.301198421991277e-5,0.010073285832496363,1.2083015432814843
Snca,6,-0.5606732242154129,6.913474905278387,-4.595148235679695,9.132182335065582e-5,0.010633918985720811,1.1382295651986656
Cpox,16,0.5293782929771682,6.5260427356506945,4.573716379874624,9.671760085718634e-5,0.01103921289783806,1.1290292073751846
Rpl10,X,-0.4323248688451038,9.497993068020431,-4.651512481071694,7.852063172400533e-5,0.009838976549068842,1.1182781591996136
