symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Pld4,12,-0.7630948980360444,8.24115861122723,-7.409574258051793,1.1227476651665663e-8,6.524286682282917e-6,9.810067455469936,FALSE
Creld2,15,-0.9587906140796152,6.600481304581553,-7.254728241104893,1.7714492253996375e-8,9.80370614171171e-6,9.41570880828573,FALSE
Ide,19,-0.9536667320147494,5.7847269043452245,-7.0086933016438024,3.6729384247944054e-8,1.785076105880035e-5,8.741206130953227,FALSE
Derl3,10,-1.2578641793775578,5.045446771290617,-7.007475386359268,3.686269707547827e-8,1.785076105880035e-5,8.7284995361477975,FALSE
Xbp1,11,-0.8057096187906847,7.580378341508297,-7.028884500318433,3.458885077723686e-8,1.785076105880035e-5,8.716083858705073,FALSE
Rexo2,9,-0.7759204708469021,6.914747386510447,-6.983468564470594,3.9592547073615945e-8,1.840578328358258e-5,8.609847451588307,FALSE
Emid1,11,-1.4084467858346241,4.534126466942609,-6.907288419967219,4.968298232164076e-8,2.220829309777342e-5,8.381860206666257,FALSE
Hmgn2,4,-0.7513862872585158,7.099475290158302,-6.85950687401449,5.729980133591829e-8,2.3783510397358654e-5,8.236972179214876,FALSE
Rpl21,5,-0.6110081661600599,12.013649188726145,-6.865469024223336,5.628844568422173e-8,2.3783510397358654e-5,8.139973100001281,FALSE
Uba52,8,0.7364179286001846,8.710329534250253,6.8420269036197645,6.037184978780123e-8,2.4194539249442272e-5,8.138406214919423,FALSE
Ftl1,7,-0.6105218876881828,11.203006354047222,-6.525912255689536,1.5585068744260578e-7,6.0376556315265473e-5,7.140549890334629,FALSE
Myh9,15,0.7009887660064384,7.541203497739063,6.34098112735917,2.7225450910123115e-7,1.0206909370240349e-4,6.688069370155565,FALSE
Cdk5rap1,2,-1.2986134395920472,4.320832741547619,-6.308495332958963,3.00343305737885e-7,1.090809343526781e-4,6.677172983484505,FALSE
Rbm38,2,0.6767978302858628,7.076507588856848,6.196485972627869,4.215226286789406e-7,1.4845260577292873e-4,6.279995865540915,FALSE
Thy1,9,0.6906906316688488,6.949334005646385,6.1608392436645305,4.695909109775234e-7,1.6051722257002285e-4,6.181535549200911,FALSE
Tspo2,17,-0.9550414544774819,5.61295662062671,-5.985656582611204,7.989250706553979e-7,2.5375018441326777e-4,5.770956259692047,FALSE
