symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Cd4,6,0.7155754514069459,3.8278384523916795,5.6607223879997495,3.660463724631629e-5,0.006190661374966112,2.2752841171256497
Khsrp,17,0.5119419996757317,5.472627317101178,5.764767183766704,2.9984666115647958e-5,0.005508309861216849,2.2190204406260445
Cxcl13,5,0.6709183508523093,5.221001881911206,5.738403856956038,3.1534990613840645e-5,0.0055582551699503175,2.2010805990162945
Hsd17b11,5,0.6436221750040874,4.213834385729293,5.648222220314861,3.74961472531107e-5,0.006190661374966112,2.1835742818680686
Lpl,8,0.6638148773273969,4.018275564022277,5.628017487446999,3.8984979018474096e-5,0.006193867272855824,2.177044376845462
Hmgn2,4,-0.542159341066422,6.854106306795973,-5.7506865060212835,3.0802612804468933e-5,0.005549557924822811,2.16933365619499
Slfn2,11,0.48638442111309566,5.906180768825087,5.746332946529177,3.106016472529826e-5,0.005549557924822811,2.1549408606776987
Skap1,11,0.6440251865972924,4.177581240607866,5.622329089597252,3.941508729947354e-5,0.006193867272855824,2.1392897547743335
Ntan1,16,-0.6126608946896859,4.4857450883109875,-5.627098300351319,3.9054149625933086e-5,0.006193867272855824,2.0955198321970734
Agpat1,17,0.8318119938136563,3.4688849062547464,5.531346515142693,4.700328517311199e-5,0.006592084392611825,2.0933073304410534
Tgfbi,13,0.48735388158325676,6.37215793510393,5.681635201985401,3.51618981932229e-5,0.006034429449134294,2.0157899669253556
Ccl24,5,0.7470244231591123,3.7044669018571437,5.505606941168654,4.9413494179217854e-5,0.006767027428652708,1.9987100403754052
Cr2,1,0.6515997632825368,5.629997808383483,5.6495712252488905,3.739886353939943e-5,0.006190661374966112,1.9825861747113365
Plcd3,11,-1.8894143836944652,1.003984717220018,-5.480819581303579,5.1855468620538374e-5,0.006907096648169992,1.9659488789963708
Emid1,11,-1.2879681984167666,2.3882832869977695,-5.378796363957193,6.32963290144695e-5,0.007925818552602755,1.9489846204715073
Gpr137b,13,0.49378168098377007,5.428135787259373,5.605296039500124,4.073260049197671e-5,0.006324706050200622,1.9102823923165175
Pan3,5,0.5261293209666356,4.989233465387614,5.575101953058181,4.318130790903035e-5,0.006461974055266188,1.908452194736185
Prrc2c,1,0.537180655119645,5.139306868310675,5.566808696041851,4.388019892614091e-5,0.006461974055266188,1.8691512682206355
Supt16,14,0.4814883437874027,5.887422407720944,5.594120717218411,4.162170949788787e-5,0.006374552281421358,1.8571925708811303
Tg,15,-1.635071012064447,2.056408892036721,-5.320428831068763,7.098561300949568e-5,0.008572827319285667,1.852052850797694
Nenf,1,-0.48654725728916137,5.989896626024672,-5.589057978422233,4.203108918210817e-5,0.006374552281421358,1.845121627970573
Maf,8,0.4857534915164834,5.622377572703949,5.563528339066927,4.4159862779444346e-5,0.006461974055266188,1.8116944368948715
Star,8,0.5449518462859242,5.459795371118108,5.551264052369595,4.5221884756731535e-5,0.006461974055266188,1.8024826185618874
